rank,full_name,stargazers_count,clone_url,html_url,language,description
96,thingsboard/thingsboard,19602,https://github.com/thingsboard/thingsboard.git,https://github.com/thingsboard/thingsboard,Java,"Open-source IoT Platform - Device management, data collection, processing and visualization."
97,xiaojieonly/Ehviewer_CN_SXJ,19341,https://github.com/xiaojieonly/Ehviewer_CN_SXJ.git,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,Java,ehviewer，用爱发电，快乐前行
98,dianping/cat,18919,https://github.com/dianping/cat.git,https://github.com/dianping/cat,Java,"CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。"
99,Baseflow/PhotoView,18875,https://github.com/Baseflow/PhotoView.git,https://github.com/Baseflow/PhotoView,Java,"Implementation of ImageView for Android that supports zooming, by various touch gestures."
100,JetBrains/intellij-community,18697,https://github.com/JetBrains/intellij-community.git,https://github.com/JetBrains/intellij-community,Java,IntelliJ IDEA & IntelliJ Platform
101,antlr/antlr4,18254,https://github.com/antlr/antlr4.git,https://github.com/antlr/antlr4,Java,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files."
102,williamfiset/Algorithms,18173,https://github.com/williamfiset/Algorithms.git,https://github.com/williamfiset/Algorithms,Java,A collection of algorithms and data structures
103,Tencent/APIJSON,18128,https://github.com/Tencent/APIJSON.git,https://github.com/Tencent/APIJSON,Java,"🏆 实时 零代码、全功能、强安全 ORM 库 🚀 后端接口和文档零代码，前端(客户端) 定制返回 JSON 的数据和结构 🏆 Real-Time coding-free, powerful and secure ORM 🚀  providing APIs and Docs without coding by Backend, and the returned JSON of API can be customized by Frontend(Client) users"
104,dromara/Sa-Token,18111,https://github.com/dromara/Sa-Token.git,https://github.com/dromara/Sa-Token,Java,一个轻量级 Java 权限认证框架，让鉴权变得简单、优雅！—— 登录认证、权限认证、分布式Session会话、微服务网关鉴权、单点登录、OAuth2.0
105,forezp/SpringCloudLearning,17969,https://github.com/forezp/SpringCloudLearning.git,https://github.com/forezp/SpringCloudLearning,Java,《史上最简单的Spring Cloud教程源码》
106,LMAX-Exchange/disruptor,17964,https://github.com/LMAX-Exchange/disruptor.git,https://github.com/LMAX-Exchange/disruptor,Java,High Performance Inter-Thread Messaging Library
107,YunaiV/yudao-cloud,17778,https://github.com/YunaiV/yudao-cloud.git,https://github.com/YunaiV/yudao-cloud,Java,ruoyi-vue-pro 全新 Cloud 版本，优化重构所有功能。基于 Spring Cloud Alibaba + MyBatis Plus + Vue & Element 实现的后台管理系统 + 用户小程序，支持 RBAC 动态权限、多租户、数据权限、工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！
108,Tencent/tinker,17491,https://github.com/Tencent/tinker.git,https://github.com/Tencent/tinker,Java,"Tinker is a hot-fix solution library for Android, it supports dex, library and resources update without reinstall apk."
109,ashishps1/awesome-low-level-design,17481,https://github.com/ashishps1/awesome-low-level-design.git,https://github.com/ashishps1/awesome-low-level-design,Java,Learn Low Level Design (LLD) and prepare for interviews using free resources.
110,openzipkin/zipkin,17287,https://github.com/openzipkin/zipkin.git,https://github.com/openzipkin/zipkin,Java,Zipkin is a distributed tracing system
111,infinilabs/analysis-ik,17174,https://github.com/infinilabs/analysis-ik.git,https://github.com/infinilabs/analysis-ik,Java,"🚌 The IK Analysis plugin integrates Lucene IK analyzer into Elasticsearch and OpenSearch, support customized dictionary."
112,justauth/JustAuth,17152,https://github.com/justauth/JustAuth.git,https://github.com/justauth/JustAuth,Java,"🏆Gitee 最有价值开源项目 🚀:100: 小而全而美的第三方登录开源组件。目前已支持Github、Gitee、微博、钉钉、百度、Coding、腾讯云开发者平台、OSChina、支付宝、QQ、微信、淘宝、Google、Facebook、抖音、领英、小米、微软、今日头条、Teambition、StackOverflow、Pinterest、人人、华为、企业微信、酷家乐、Gitlab、美团、饿了么、推特、飞书、京东、阿里云、喜马拉雅、Amazon、Slack和 Line 等第三方平台的授权登录。 Login, so easy!"
113,facebook/fresco,17136,https://github.com/facebook/fresco.git,https://github.com/facebook/fresco,Java,An Android library for managing images and the memory they use.
114,baomidou/mybatis-plus,17081,https://github.com/baomidou/mybatis-plus.git,https://github.com/baomidou/mybatis-plus,Java,An powerful enhanced toolkit of MyBatis for simplify development
115,ben-manes/caffeine,16983,https://github.com/ben-manes/caffeine.git,https://github.com/ben-manes/caffeine,Java,A high performance caching library for Java
116,material-components/material-components-android,16917,https://github.com/material-components/material-components-android.git,https://github.com/material-components/material-components-android,Java,Modular and customizable Material Design UI components for Android
117,nostra13/Android-Universal-Image-Loader,16895,https://github.com/nostra13/Android-Universal-Image-Loader.git,https://github.com/nostra13/Android-Universal-Image-Loader,Java,"Powerful and flexible library for loading, caching and displaying images on Android."
118,winterbe/java8-tutorial,16769,https://github.com/winterbe/java8-tutorial.git,https://github.com/winterbe/java8-tutorial,Java,Modern Java - A Guide to Java 8
119,alibaba/DataX,16765,https://github.com/alibaba/DataX.git,https://github.com/alibaba/DataX,Java,DataX是阿里云DataWorks数据集成的开源版本。
120,shuzheng/zheng,16733,https://github.com/shuzheng/zheng.git,https://github.com/shuzheng/zheng,Java,基于Spring+SpringMVC+Mybatis分布式敏捷开发系统架构，提供整套公共微服务服务模块：集中权限管理（单点登录）、内容管理、支付中心、用户管理（支持第三方登录）、微信平台、存储系统、配置中心、日志分析、任务和通知等，支持服务治理、监控和追踪，努力为中小型企业打造全方位J2EE企业级开发解决方案。
121,Grasscutters/Grasscutter,16640,https://github.com/Grasscutters/Grasscutter.git,https://github.com/Grasscutters/Grasscutter,Java,A server software reimplementation for a certain anime game.
122,heibaiying/BigData-Notes,16619,https://github.com/heibaiying/BigData-Notes.git,https://github.com/heibaiying/BigData-Notes,Java,大数据入门指南  :star:
123,JeffLi1993/springboot-learning-example,16556,https://github.com/JeffLi1993/springboot-learning-example.git,https://github.com/JeffLi1993/springboot-learning-example,Java,spring boot 实践学习案例，是 spring boot 初学者及核心技术巩固的最佳实践。
124,prestodb/presto,16471,https://github.com/prestodb/presto.git,https://github.com/prestodb/presto,Java,The official home of the Presto distributed SQL query engine for big data
125,gyoogle/tech-interview-for-developer,16410,https://github.com/gyoogle/tech-interview-for-developer.git,https://github.com/gyoogle/tech-interview-for-developer,Java,👶🏻 신입 개발자 전공 지식 & 기술 면접 백과사전 📖
